07-05-2023 18:16:29 | INFO | Starting
07-05-2023 18:17:09 | INFO | Shutdown recognized
07-05-2023 18:17:09 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:17:09 | INFO | Backup skipped
07-05-2023 18:17:09 | INFO | Started shutdown
07-05-2023 18:18:39 | INFO | Starting
07-05-2023 18:25:54 | INFO | Shutdown recognized
07-05-2023 18:25:54 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:25:54 | INFO | Backup recognized
07-05-2023 18:25:54 | INFO | Creating backup
07-05-2023 18:25:54 | DEBUG | base_path: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1
07-05-2023 18:25:54 | DEBUG | backupPaths: ['\\logs', '\\world', '\\world_nether', '\\world_the_end', '\\plugins']
07-05-2023 18:25:54 | DEBUG | targetPath: E:\backups_mc\2023-07-05 18.25.54
07-05-2023 18:25:55 | INFO | Start to backup: \logs
07-05-2023 18:25:57 | INFO | |--------File: r.7.-7.mca
07-05-2023 18:25:57 | INFO | |--------File: r.8.-6.mca
07-05-2023 18:25:57 | INFO | |--------File: r.8.-7.mca
07-05-2023 18:25:57 | INFO | |--------File: r.9.-6.mca
07-05-2023 18:25:57 | INFO | |--------File: r.9.-7.mca
07-05-2023 18:25:57 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\stats
07-05-2023 18:25:57 | INFO | |--------File: 35850f2b-6cd2-3c33-9bb1-a64d3528b9c8.json
07-05-2023 18:25:57 | INFO | |--------File: 36c5cd13-61f4-44f1-9987-0390f20c9ea2.json
07-05-2023 18:25:57 | INFO | |--------File: 3e50712c-be5a-49e3-8832-c0c7f711d8e5.json
07-05-2023 18:25:57 | INFO | |--------File: 4ebe5f6f-c231-4315-9d60-097c48cc6d30.json
07-05-2023 18:25:57 | INFO | |--------File: 8303e712-e9c9-37e8-8999-8044bb1fc290.json
07-05-2023 18:25:57 | INFO | |--------File: af532a70-5211-4d79-8f37-0f133d4d7e6b.json
07-05-2023 18:25:57 | INFO | |--------File: ce0fc093-9e6c-47b1-b1c8-a98f2da2d02b.json
07-05-2023 18:25:57 | INFO | Done with C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world
07-05-2023 18:25:57 | INFO | Start to backup: \world_nether
07-05-2023 18:25:57 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world_nether
07-05-2023 18:25:57 | INFO | |--------File: level.dat
07-05-2023 18:25:57 | INFO | |--------File: level.dat_old
07-05-2023 18:25:57 | INFO | |--------File: paper-world.yml
07-05-2023 18:25:57 | INFO | |--------File: session.lock
07-05-2023 18:25:57 | INFO | |--------File: uid.dat
07-05-2023 18:25:57 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world_nether\DIM-1
07-05-2023 18:25:57 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world_nether\DIM-1\data
07-05-2023 18:25:57 | INFO | |--------File: raids.dat
07-05-2023 18:25:57 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world_nether\DIM-1\entities
07-05-2023 18:25:57 | INFO | |--------File: r.-1.-1.mca
